"Nlee4","cell_type","Spatial_Score","scaled","p_value","log_p_adj"
"CST","TARC+ HRS",0.687908859975407,1.16146573478622,0.0442879147875131,1.35371476716603
"CST","CD163+ Mac",0.283854211362814,0.235783169720847,0.863314355378617,0.0638310374858251
"CST","CD27+ B",0.163846604024531,-0.442701107266166,0.825772019366306,0.083139836938053
"CST","FOXP3+ CD4",0.650180009113667,1.35251883014011,0.0061934793125435,2.20806530869741
"CST","CTL",0.131777112067494,-0.579146666474148,0.638900495772158,0.194566774865154
"CST","LAG3+ CD4",0.156439033220711,-1.39613526334876,0.0217295989245368,1.6629482896237
"CST","TFH",0.224412302201542,-0.886819028354655,0.300041405359164,0.522818809019693
"CST","PD1+ CD4",0.174737950683646,-1.1796960317401,0.0122042183049314,1.91349003244727
"CST","PDL1+ HRS",0.116648870508991,-1.02209761401766,0.394590560873374,0.403853307856352
"CST","PDL1+ Mac",0.423504919966793,0.029574319138261,0.871904287261532,0.0595311868513831
"CN913","TARC+ HRS",0.542305004195888,-0.24844326080401,0.431542560001246,0.364976366432645
"CN913","CD163+ Mac",0.380179032631725,1.20276283795644,0.0847787766263255,1.07171285467355
"CN913","CD27+ B",0.149624750308685,-0.875967498756408,0.591186271271121,0.228275659830458
"CN913","FOXP3+ CD4",0.34126446429433,-0.927934066334804,0.0404058541999237,1.39355570759898
"CN913","CTL",0.183702249870708,0.892892928690686,0.400733861364596,0.397143958833914
"CN913","LAG3+ CD4",0.33507386770848,0.791747708988297,0.202180559686776,0.694260605553369
"CN913","TFH",0.363484374757711,1.34784232186636,0.242958816196314,0.614467337161001
"CN913","PD1+ CD4",0.301617847214479,-0.16854447820575,0.991136997699928,0.00386631197993281
"CN913","PDL1+ HRS",0.179107408850758,1.1518501184221,0.486175670025861,0.313206778602306
"CN913","PDL1+ Mac",0.509325378177272,1.14554186837073,0.284279173902773,0.546254955259962
"STB","TARC+ HRS",0.599888468389397,0.30914804561451,0.800912976902896,0.0964146695637379
"STB","CD163+ Mac",0.236649051208601,-0.238097077380755,0.388847201556505,0.410221022214684
"STB","CD27+ B",0.174944016830148,-0.104620284805618,0.949562961326566,0.0224762338230572
"STB","FOXP3+ CD4",0.483083177032527,0.118989274565071,0.943611556684192,0.0252067488234928
"STB","CTL",0.113040436827146,-1.11031767539981,0.331838720792394,0.479072939452924
"STB","LAG3+ CD4",0.266743137527691,-0.0451531198931065,0.929645492116426,0.0316826322733194
"STB","TFH",0.288979588281684,0.150671936149967,0.931627195630515,0.0307578422285187
"STB","PD1+ CD4",0.334672764232952,0.094882050417375,0.575253508755747,0.240140723674335
"STB","PDL1+ HRS",0.160148542460979,0.491963004635334,0.778011615201724,0.109013919230928
"STB","PDL1+ Mac",0.430326462641972,0.118278346359061,0.958339969123636,0.0184803985178734
"CN2P","TARC+ HRS",0.4417464264428,-1.22217051959672,0.156096108455292,0.806607923955261
"CN2P","CD163+ Mac",0.140785225654689,-1.20044893029654,0.0426465482707886,1.37011611403019
"CN2P","CD27+ B",0.225097227911726,1.42328889082819,0.456324420315007,0.340726289228066
"CN2P","FOXP3+ CD4",0.393330783063267,-0.543574038370372,0.413521968278523,0.383501413684081
"CN2P","CTL",0.180304577700363,0.796571413183278,0.62705513065094,0.202694274344841
"CN2P","LAG3+ CD4",0.323463040971391,0.649540674253571,0.372240822322078,0.429176001068099
"CN2P","TFH",0.241534376152468,-0.611695229661667,0.674999221363204,0.170696728143581
"CN2P","PD1+ CD4",0.480039071002349,1.25335845952848,0.0360846565097519,1.44267742440055
"CN2P","PDL1+ HRS",0.128152036239224,-0.621715509039766,0.767356300875755,0.115002936475854
"CN2P","PDL1+ Mac",0.321765587813917,-1.29339453386806,0.297996009113481,0.525789552137165
